N,P,K,pH,temperature,humidity,rainfall,region,label
23,34,24,6.6,31.2,64.3,41.9,Belagavi,Mungbean
64,34,34,6.0,32.8,70.7,243.2,Tumakuru,Rice
106,76,52,5.5,29.3,89.4,124.7,Mysuru,Banana
17,63,27,7.4,26.3,11.9,35.5,Hassan,Lentil
55,35,46,7.4,36.7,73.5,283.4,Chitradurga,Rice
86,51,38,5.8,25.9,78.7,183.7,Vijayapura,Jute
38,50,30,7.4,25.0,24.8,67.4,Mysuru,Chickpea
19,57,45,6.8,18.7,10.2,28.5,Hassan,Chickpea
59,64,43,6.7,22.1,74.9,234.9,Chitradurga,Rice
111,14,54,6.2,28.2,91.8,33.3,Belagavi,Watermelon
33,17,4,6.2,25.1,89.3,137.1,Vijayapura,Orange
118,23,47,6.1,25.5,86.3,30.8,Tumakuru,Muskmelon
41,58,21,7.2,33.1,70.0,98.7,Vijayapura,Blackgram
46,50,47,6.7,41.7,94.6,255.2,Mandya,Papaya
18,8,21,5.2,28.6,87.4,203.7,Mandya,Coconut
50,25,49,6.5,34.4,89.7,185.5,Tumakuru,Papaya
15,78,23,5.5,33.3,22.0,101.2,Davanagere,Pigeonpeas
117,25,51,6.7,26.6,84.7,34.4,Shivamogga,Muskmelon
12,29,3,6.2,19.0,94.2,126.0,Ballari,Orange
17,74,30,5.1,35.1,23.2,128.7,Mandya,Pigeonpeas
60,37,23,6.6,16.9,67.0,52.7,Mysuru,Maize
27,35,29,4.4,29.7,63.8,14.7,Mandya,Mothbeans
16,26,29,6.4,34.1,44.3,90.4,Tumakuru,Mango
28,24,19,6.6,30.3,87.6,111.6,Vijayapura,Orange
13,46,10,7.2,33.7,43.0,57.6,Ballari,Mothbeans
89,30,52,6.2,26.3,79.0,77.6,Mysuru,Muskmelon
24,65,22,5.4,30.9,14.7,68.3,Mysuru,Pigeonpeas
17,63,22,5.8,23.4,21.5,112.2,Ballari,Kidneybeans
59,40,57,6.3,40.8,92.8,260.9,Mysuru,Papaya
13,59,16,7.0,24.4,16.0,26.4,Mandya,Lentil
103,24,36,5.9,22.2,63.3,134.9,Belagavi,Coffee
23,15,43,6.3,18.4,97.6,104.8,Chitradurga,Pomegranate
26,137,190,5.6,9.9,72.5,78.9,Tumakuru,Grapes
10,10,27,5.3,29.2,45.6,79.8,Shivamogga,Mango
119,43,11,6.7,20.8,65.9,65.8,Ballari,Cotton
71,57,24,5.7,20.3,72.7,76.3,Hassan,Maize
105,32,29,6.4,25.3,73.3,130.8,Vijayapura,Coffee
98,21,47,6.7,31.8,89.0,63.3,Vijayapura,Muskmelon
104,19,54,5.9,25.1,76.4,52.7,Davanagere,Muskmelon
122,48,20,6.0,26.5,57.8,61.0,Ballari,Cotton
12,16,18,6.0,9.1,89.3,84.5,Ballari,Orange
92,16,55,7.2,28.7,85.4,26.5,Ballari,Watermelon
22,51,34,5.4,29.0,24.0,76.6,Ballari,Pigeonpeas
26,13,46,6.0,24.8,80.9,86.4,Hassan,Pomegranate
10,37,29,5.5,28.3,38.9,42.5,Hassan,Mothbeans
121,57,26,7.5,24.8,68.3,40.6,Davanagere,Cotton
18,66,17,6.0,34.1,23.1,78.3,Vijayapura,Pigeonpeas
72,60,36,7.2,24.5,89.2,145.4,Mysuru,Jute
101,19,49,6.0,27.2,81.0,39.0,Ballari,Muskmelon
114,13,42,6.9,30.9,80.8,23.5,Mysuru,Muskmelon
15,21,6,6.4,13.2,86.3,111.7,Mysuru,Orange
109,6,40,6.6,26.6,89.7,71.0,Ballari,Muskmelon
18,68,21,6.9,27.8,31.1,64.3,Belagavi,Lentil
39,54,47,6.6,23.6,97.6,157.8,Mandya,Papaya
49,42,57,7.1,36.8,90.8,250.7,Chitradurga,Papaya
10,134,194,6.1,25.4,90.9,107.1,Mysuru,Apple
87,25,53,6.2,30.6,82.7,53.2,Mysuru,Muskmelon
48,59,41,6.3,37.0,87.2,230.0,Shivamogga,Papaya
114,57,22,6.8,28.2,72.6,111.7,Tumakuru,Cotton
102,18,40,7.2,28.3,80.8,47.2,Mysuru,Watermelon
28,28,20,5.1,25.7,53.8,83.7,Davanagere,Mango
24,53,23,5.6,36.1,12.8,60.6,Mandya,Pigeonpeas
10,15,10,5.9,22.0,85.2,118.4,Vijayapura,Orange
129,48,19,6.0,21.0,71.3,51.0,Shivamogga,Cotton
22,21,1,7.2,35.7,88.0,83.7,Tumakuru,Orange
23,54,17,6.2,23.5,19.0,168.2,Hassan,Kidneybeans
30,21,22,5.2,27.2,52.9,77.9,Mysuru,Mango
19,59,12,6.1,24.8,29.2,96.3,Hassan,Kidneybeans
99,99,51,6.0,30.3,86.6,75.6,Davanagere,Banana
56,49,37,6.0,28.8,77.0,297.7,Ballari,Rice
21,54,29,4.1,23.5,56.8,11.3,Ballari,Mothbeans
100,10,28,7.1,23.3,52.5,194.4,Ballari,Coffee
26,27,7,7.2,19.0,98.2,89.6,Hassan,Orange
34,59,24,5.6,33.6,18.3,60.3,Shivamogga,Pigeonpeas
15,18,26,5.5,32.6,54.4,71.0,Belagavi,Mango
102,69,52,6.1,31.7,74.3,91.0,Chitradurga,Banana
24,17,15,6.6,11.2,91.6,89.4,Chitradurga,Orange
58,47,18,6.9,16.1,66.9,51.5,Mysuru,Maize
13,25,35,5.9,26.1,90.9,134.8,Vijayapura,Pomegranate
32,61,22,6.6,32.3,67.7,81.0,Chitradurga,Blackgram
134,63,13,7.6,23.9,63.2,52.3,Chitradurga,Cotton
21,70,13,6.9,27.2,29.4,61.6,Vijayapura,Lentil
74,36,25,5.6,16.5,72.0,95.5,Chitradurga,Maize
27,15,4,6.7,12.1,85.9,124.5,Vijayapura,Orange
109,58,18,6.2,27.8,62.6,50.2,Mandya,Cotton
28,11,37,6.5,29.2,42.0,80.3,Ballari,Mango
32,131,193,6.1,9.8,74.9,91.8,Hassan,Grapes
24,131,193,6.6,21.7,78.7,70.9,Davanagere,Grapes
104,73,49,6.0,27.7,89.1,75.8,Belagavi,Banana
48,59,14,6.5,29.9,62.0,70.9,Hassan,Blackgram
103,92,56,6.6,29.0,86.7,97.4,Shivamogga,Banana
113,85,40,6.0,25.5,75.7,120.7,Shivamogga,Banana
100,27,58,6.8,27.7,82.2,72.3,Vijayapura,Muskmelon
11,35,21,6.7,30.8,65.0,73.3,Davanagere,Mungbean
11,129,204,6.6,17.9,83.9,77.7,Tumakuru,Grapes
33,129,198,6.2,27.9,77.4,53.8,Vijayapura,Grapes
108,36,13,6.2,23.9,54.2,91.9,Hassan,Cotton
101,27,26,6.7,23.4,74.9,194.7,Hassan,Coffee
11,31,22,6.9,30.7,70.7,67.8,Tumakuru,Mungbean
13,6,31,5.5,23.2,81.5,214.7,Davanagere,Coconut
15,52,15,6.9,23.8,22.9,69.1,Vijayapura,Lentil
57,26,57,6.8,33.3,88.8,174.6,Hassan,Papaya
90,22,26,7.2,28.1,52.0,154.3,Vijayapura,Coffee
23,46,17,6.8,22.4,39.6,53.7,Shivamogga,Mothbeans
12,131,195,5.7,20.2,93.9,94.0,Davanagere,Apple
89,50,27,6.2,28.2,69.2,88.8,Vijayapura,Maize
89,15,50,5.9,24.3,87.0,66.3,Mandya,Watermelon
88,59,47,6.1,20.8,87.9,218.3,Belagavi,Rice
111,25,47,6.6,27.7,86.4,73.0,Mandya,Muskmelon
17,50,24,6.7,27.6,74.2,38.7,Chitradurga,Mungbean
23,42,22,5.3,27.3,34.4,67.2,Vijayapura,Mothbeans
65,59,43,7.1,24.0,90.2,210.8,Chitradurga,Jute
24,20,33,5.5,22.4,78.6,126.7,Vijayapura,Pomegranate
93,36,41,7.5,25.7,77.0,181.5,Mandya,Jute
28,61,14,6.2,23.8,17.1,167.7,Vijayapura,Kidneybeans
30,63,12,7.0,28.3,74.5,75.8,Shivamogga,Blackgram
22,48,26,7.3,26.8,57.8,52.5,Hassan,Mungbean
23,32,30,6.5,25.5,51.7,76.3,Hassan,Mango
15,62,31,7.6,17.8,19.2,39.9,Mysuru,Chickpea
110,28,33,6.7,22.8,69.9,165.1,Hassan,Coffee
24,18,6,6.6,22.9,97.1,120.4,Hassan,Orange
20,55,23,6.8,32.8,36.4,30.6,Ballari,Mothbeans
27,139,202,5.6,9.1,78.5,50.0,Ballari,Grapes
14,58,18,7.6,21.0,33.1,34.1,Tumakuru,Lentil
104,72,50,5.6,25.4,76.6,86.4,Vijayapura,Banana
25,53,29,5.3,20.7,19.9,109.0,Mysuru,Kidneybeans
124,50,27,6.1,26.4,57.4,72.8,Chitradurga,Cotton
15,38,30,6.6,16.7,84.2,91.8,Hassan,Pomegranate
32,58,46,6.5,19.1,10.5,66.4,Shivamogga,Chickpea
15,27,37,5.1,32.4,54.7,84.4,Ballari,Mango
10,57,26,7.1,22.1,23.4,65.3,Chitradurga,Lentil
45,72,15,7.5,34.8,71.6,59.3,Hassan,Blackgram
33,65,26,5.4,33.6,11.2,164.9,Shivamogga,Pigeonpeas
15,140,200,5.8,25.8,86.6,82.9,Mysuru,Apple
102,78,41,5.6,25.7,86.6,130.1,Chitradurga,Banana
10,66,29,7.3,21.8,28.7,19.1,Mysuru,Lentil
32,12,22,6.1,28.7,95.6,197.5,Mandya,Coconut
84,55,41,7.2,28.0,69.9,215.0,Hassan,Jute
23,76,34,5.9,22.5,33.7,29.6,Ballari,Chickpea
23,55,43,6.5,17.7,34.4,24.8,Shivamogga,Chickpea
26,53,16,4.5,24.8,30.7,85.6,Chitradurga,Mothbeans
70,33,40,7.0,32.4,74.8,291.4,Mysuru,Rice
25,63,24,4.8,32.1,25.5,92.5,Chitradurga,Pigeonpeas
22,25,26,5.2,26.7,83.5,263.7,Vijayapura,Coconut
35,122,195,6.2,24.5,94.6,83.3,Ballari,Apple
46,62,25,7.3,27.7,68.9,47.3,Chitradurga,Blackgram
38,144,190,6.7,22.8,88.2,89.9,Davanagere,Apple
25,120,205,5.5,18.7,72.8,54.3,Davanagere,Grapes
10,51,27,6.3,29.8,60.2,18.9,Hassan,Mothbeans
105,8,44,6.9,24.7,91.6,26.0,Shivamogga,Watermelon
107,85,57,5.6,29.9,86.3,139.0,Chitradurga,Banana
13,139,206,6.4,25.5,88.3,48.7,Mandya,Grapes
43,78,29,7.0,34.9,20.8,79.0,Hassan,Pigeonpeas
31,70,16,6.4,34.5,61.9,89.2,Vijayapura,Blackgram
26,48,28,6.9,31.1,73.8,70.0,Vijayapura,Mungbean
23,53,20,7.1,30.5,58.9,54.6,Vijayapura,Mungbean
104,10,56,6.7,24.6,90.2,63.4,Chitradurga,Watermelon
18,64,26,6.6,21.1,27.4,53.0,Vijayapura,Lentil
16,19,13,6.5,21.6,85.6,100.5,Hassan,Orange
34,131,203,6.6,25.4,91.3,106.8,Ballari,Apple
16,71,27,5.6,26.4,12.1,98.2,Belagavi,Kidneybeans
16,137,202,6.3,19.8,74.9,42.1,Chitradurga,Grapes
26,51,10,5.4,14.9,18.6,162.2,Hassan,Kidneybeans
12,37,28,5.8,31.8,28.2,78.9,Chitradurga,Mothbeans
21,67,19,5.6,25.4,26.2,46.0,Hassan,Kidneybeans
34,10,13,6.1,12.0,89.3,100.1,Shivamogga,Orange
69,42,32,6.9,27.6,69.1,189.0,Shivamogga,Jute
121,11,40,6.3,31.0,82.1,30.3,Vijayapura,Muskmelon
10,38,39,5.5,20.0,79.2,131.6,Vijayapura,Pomegranate
73,38,25,6.4,26.5,62.3,67.2,Hassan,Maize
116,59,26,6.1,25.9,72.9,99.3,Vijayapura,Cotton
72,61,32,7.0,21.4,84.7,169.1,Shivamogga,Jute
127,48,11,8.0,22.7,53.5,94.8,Davanagere,Cotton
49,63,22,7.0,33.9,62.2,53.1,Belagavi,Blackgram
21,34,35,5.9,25.3,95.1,146.9,Tumakuru,Coconut
70,62,21,7.1,24.4,64.4,44.7,Shivamogga,Maize
41,77,24,6.2,34.2,20.4,146.8,Mysuru,Pigeonpeas
12,60,15,7.5,22.9,20.7,24.4,Mandya,Lentil
20,9,25,5.9,30.7,77.0,266.7,Mysuru,Coconut
27,59,30,6.3,22.4,34.9,63.4,Shivamogga,Chickpea
66,54,32,7.1,27.9,80.5,161.3,Ballari,Jute
27,14,38,5.3,23.9,99.2,92.0,Belagavi,Pomegranate
91,49,34,6.8,36.5,94.3,184.1,Mysuru,Rice
26,52,10,6.5,28.0,62.8,63.1,Vijayapura,Mungbean
118,26,45,6.3,27.3,88.5,26.9,Tumakuru,Muskmelon
33,64,27,6.9,23.3,58.5,48.6,Ballari,Blackgram
92,21,52,6.3,31.2,84.1,75.1,Belagavi,Muskmelon
33,64,19,6.3,33.9,55.8,91.3,Hassan,Blackgram
14,21,36,6.8,20.1,93.6,135.8,Shivamogga,Pomegranate
83,57,39,6.4,21.9,79.0,151.3,Davanagere,Jute
15,122,194,6.6,24.0,96.3,83.5,Belagavi,Apple
22,143,194,5.6,21.2,97.0,83.8,Belagavi,Apple
27,35,44,6.5,26.8,83.6,120.8,Chitradurga,Pomegranate
10,129,205,6.5,21.6,87.4,100.7,Davanagere,Apple
25,134,191,5.7,27.2,80.7,50.0,Mandya,Grapes
12,69,12,7.0,25.5,10.6,59.7,Mysuru,Lentil
34,7,23,5.0,29.7,92.1,182.9,Belagavi,Coconut
30,18,6,6.7,36.3,96.7,92.3,Belagavi,Orange
132,59,10,6.2,23.8,45.4,48.4,Belagavi,Cotton
33,62,27,6.3,33.6,73.4,67.6,Vijayapura,Blackgram
33,136,200,5.9,23.0,93.0,87.4,Vijayapura,Apple
96,7,50,6.4,27.9,83.6,28.7,Belagavi,Watermelon
17,56,24,5.8,22.2,14.7,86.6,Chitradurga,Kidneybeans
72,61,24,6.2,18.4,73.6,114.8,Davanagere,Maize
17,38,26,6.7,25.5,58.1,52.5,Belagavi,Mungbean
17,50,15,6.0,23.4,22.6,132.4,Vijayapura,Pigeonpeas
30,64,28,7.1,33.9,26.1,155.3,Mysuru,Pigeonpeas
24,32,27,6.2,28.0,64.7,43.9,Belagavi,Mungbean
20,34,35,6.0,21.8,78.5,116.9,Ballari,Pomegranate
97,30,21,5.8,29.4,50.0,199.4,Davanagere,Coffee
69,60,33,7.2,21.1,81.9,206.0,Davanagere,Jute
17,56,17,5.8,22.2,32.3,32.5,Ballari,Mothbeans
32,71,13,6.9,30.9,68.6,87.6,Vijayapura,Blackgram
69,53,18,5.5,21.4,58.8,93.7,Mandya,Maize
87,51,41,6.8,23.6,82.1,145.4,Mysuru,Jute
33,71,16,5.7,33.8,11.4,113.7,Hassan,Pigeonpeas
98,33,40,6.6,26.0,93.1,44.6,Vijayapura,Watermelon
113,56,27,7.9,23.8,50.8,94.7,Shivamogga,Cotton
107,34,34,6.1,26.5,65.4,176.2,Vijayapura,Coffee
26,35,18,6.5,32.4,27.7,12.2,Shivamogga,Mothbeans
37,74,36,6.5,17.9,34.8,39.3,Belagavi,Chickpea
32,132,190,5.6,23.2,86.4,103.8,Davanagere,Apple
12,121,201,6.4,16.1,82.7,53.1,Mysuru,Grapes
49,57,20,7.6,34.4,64.5,59.2,Hassan,Blackgram
108,46,19,7.4,28.8,70.4,80.6,Mandya,Cotton
22,75,29,6.6,23.4,14.6,145.3,Ballari,Pigeonpeas
29,26,17,5.8,8.4,87.0,108.3,Belagavi,Orange
34,129,196,5.9,22.2,76.7,43.5,Chitradurga,Grapes
24,27,32,5.6,27.9,55.7,92.3,Shivamogga,Mango
44,72,13,7.1,27.9,65.5,67.6,Ballari,Blackgram
18,52,13,6.7,26.9,62.4,11.8,Mandya,Mothbeans
23,15,40,6.0,23.0,77.4,81.9,Belagavi,Pomegranate
13,59,18,6.9,18.1,10.9,69.4,Hassan,Lentil
16,41,18,7.0,28.5,59.6,10.1,Mysuru,Mothbeans
29,58,15,5.4,33.6,26.0,78.7,Belagavi,Mothbeans
24,31,4,6.8,28.9,95.9,98.4,Chitradurga,Orange
12,31,15,6.1,25.8,97.9,126.7,Davanagere,Orange
16,58,31,6.2,21.2,29.1,71.1,Hassan,Chickpea
13,23,29,5.6,26.6,45.8,80.1,Chitradurga,Mango
33,62,26,6.8,31.7,14.9,68.7,Mysuru,Pigeonpeas
22,68,45,6.5,16.4,30.4,35.1,Shivamogga,Chickpea
52,53,59,6.7,33.8,94.2,243.4,Mysuru,Papaya
112,20,43,6.6,23.8,82.2,72.9,Mysuru,Watermelon
23,67,19,7.2,26.9,27.7,21.8,Davanagere,Lentil
40,54,10,6.4,24.9,56.9,77.1,Chitradurga,Blackgram
111,18,23,7.1,25.0,70.0,151.8,Belagavi,Coffee
94,29,54,6.9,27.8,82.5,49.0,Ballari,Muskmelon
26,58,18,7.1,30.5,61.7,28.8,Chitradurga,Mungbean
26,27,47,6.7,21.2,77.7,113.2,Tumakuru,Pomegranate
24,50,25,6.9,19.6,33.6,35.5,Shivamogga,Lentil
97,26,34,7.0,27.3,65.8,198.2,Shivamogga,Coffee
59,54,40,6.9,38.2,93.5,247.6,Shivamogga,Papaya
99,28,45,5.9,24.0,86.1,65.3,Tumakuru,Watermelon
80,48,31,6.8,25.5,68.5,188.3,Shivamogga,Jute
21,53,10,5.5,26.7,23.2,55.9,Hassan,Kidneybeans
92,93,42,5.6,26.2,75.3,111.4,Belagavi,Banana
11,73,26,7.3,20.5,33.4,56.2,Mandya,Lentil
118,43,29,6.5,22.3,64.2,118.5,Ballari,Cotton
88,14,22,6.4,23.7,49.8,116.6,Hassan,Coffee
114,88,58,6.2,31.5,73.9,75.7,Belagavi,Banana
94,30,56,6.8,27.9,83.5,43.7,Ballari,Muskmelon
84,38,33,6.9,27.3,74.2,280.7,Belagavi,Rice
94,21,54,6.8,24.3,82.3,27.7,Shivamogga,Watermelon
102,74,50,6.4,30.3,89.4,81.2,Shivamogga,Banana
14,124,196,6.5,35.8,77.9,77.5,Hassan,Grapes
12,36,22,4.4,23.8,63.8,76.8,Ballari,Mothbeans
23,29,43,5.6,25.1,88.7,134.1,Vijayapura,Pomegranate
17,28,33,7.0,23.6,97.2,112.6,Mandya,Pomegranate
19,20,24,4.9,33.9,43.1,94.5,Tumakuru,Mango
11,13,33,5.3,25.5,43.1,112.4,Chitradurga,Mango
84,63,35,5.9,24.6,77.7,192.5,Tumakuru,Jute
27,20,41,7.1,19.2,87.9,124.5,Davanagere,Pomegranate
114,14,35,7.1,28.7,72.2,184.4,Chitradurga,Coffee
125,60,25,8.1,28.6,74.1,46.5,Ballari,Cotton
17,46,13,6.7,25.5,57.8,57.3,Chitradurga,Mungbean
23,40,15,7.2,27.6,46.1,79.3,Ballari,Mothbeans
61,55,46,6.9,33.8,96.6,182.4,Hassan,Papaya
25,50,17,7.4,30.4,23.1,62.9,Ballari,Lentil
98,33,43,6.9,22.4,75.5,52.9,Davanagere,Watermelon
60,28,55,6.9,29.1,90.4,236.4,Belagavi,Papaya
36,137,191,6.2,21.4,92.9,80.9,Hassan,Apple
15,16,31,5.1,30.9,89.1,206.7,Ballari,Coconut
95,24,55,6.2,22.2,92.2,76.8,Ballari,Watermelon
21,17,41,5.5,24.8,96.8,107.2,Mysuru,Pomegranate
99,14,45,6.8,28.9,87.9,37.8,Vijayapura,Muskmelon
22,12,35,5.5,35.4,40.9,70.9,Davanagere,Mango
113,27,21,6.7,24.6,53.2,174.7,Vijayapura,Coffee
102,33,23,6.5,30.0,45.5,109.9,Vijayapura,Coffee
108,92,54,5.7,26.5,88.2,120.0,Davanagere,Banana
51,33,40,6.4,28.1,98.1,232.9,Shivamogga,Papaya
52,52,49,6.7,40.6,90.5,266.8,Belagavi,Papaya
23,76,44,6.6,17.3,33.2,33.0,Shivamogga,Chickpea
94,33,23,6.0,27.2,62.0,137.1,Shivamogga,Coffee
12,56,14,7.2,28.0,55.1,22.4,Ballari,Mothbeans
100,14,29,7.0,22.8,50.6,120.4,Belagavi,Coffee
123,24,44,5.9,28.7,87.1,66.6,Shivamogga,Muskmelon
26,62,14,6.4,23.6,25.3,60.1,Tumakuru,Lentil
59,34,33,7.4,22.4,70.7,139.1,Davanagere,Rice
19,18,24,5.5,24.5,96.7,249.9,Davanagere,Coconut
82,51,36,7.2,33.8,81.8,274.3,Shivamogga,Rice
18,143,193,5.5,19.8,84.1,49.1,Chitradurga,Grapes
35,50,10,7.3,36.1,74.1,79.8,Tumakuru,Blackgram
22,121,193,5.7,25.2,90.6,102.9,Chitradurga,Apple
46,51,21,7.6,26.9,60.6,96.7,Tumakuru,Blackgram
26,50,14,5.8,16.1,15.5,134.4,Ballari,Kidneybeans
25,29,30,6.2,27.4,51.7,98.4,Tumakuru,Mango
23,59,19,5.8,26.7,17.9,141.5,Belagavi,Kidneybeans
99,73,42,6.1,30.5,70.1,85.7,Tumakuru,Banana
13,46,23,6.8,25.3,59.0,31.8,Ballari,Mungbean
36,60,15,5.4,27.3,20.6,154.3,Mysuru,Pigeonpeas
112,26,28,7.2,28.0,53.1,169.8,Davanagere,Coffee
20,28,31,5.5,25.2,88.4,268.0,Vijayapura,Coconut
26,13,30,5.9,29.4,90.8,173.4,Hassan,Coconut
85,47,19,6.7,27.2,72.5,88.3,Mandya,Maize
32,51,47,6.0,15.9,22.7,53.4,Shivamogga,Chickpea
24,131,190,5.5,10.0,87.8,55.3,Vijayapura,Grapes
32,51,23,6.0,31.8,11.2,61.7,Ballari,Pigeonpeas
39,74,40,7.6,26.4,11.5,37.5,Shivamogga,Chickpea
31,139,194,6.3,24.8,99.3,137.2,Mandya,Apple
25,46,23,6.9,27.3,69.9,78.5,Davanagere,Mungbean
27,39,19,6.4,23.0,60.5,59.7,Tumakuru,Mothbeans
10,32,10,5.2,22.1,53.1,70.6,Belagavi,Mothbeans
18,69,33,5.9,19.6,19.9,67.6,Tumakuru,Chickpea
24,42,18,4.3,27.0,48.2,38.7,Mandya,Mothbeans
21,34,22,7.3,31.3,72.8,60.5,Ballari,Mungbean
39,30,43,7.1,28.1,99.4,269.0,Ballari,Papaya
100,31,49,6.8,29.6,75.6,58.9,Tumakuru,Muskmelon
72,39,47,7.0,26.3,92.4,212.6,Belagavi,Jute
94,48,28,6.1,19.6,70.5,84.5,Mandya,Maize
117,45,16,7.2,28.8,60.2,106.8,Belagavi,Cotton
31,20,9,6.8,33.0,89.3,109.2,Tumakuru,Orange
12,6,9,6.2,20.3,94.0,97.2,Tumakuru,Orange
105,30,54,6.8,25.6,86.6,74.7,Tumakuru,Watermelon
65,53,32,6.5,23.9,85.1,151.3,Chitradurga,Rice
